query,title,link,blogger,bloggerlink,postdate,description,likes,comments,engagement
립스틱 후기,프라다 뷰티 더현대서울 1층 화장품 립스틱 후기,https://blog.naver.com/realbloom/223645407315,"직장인의 장래희망,",blog.naver.com/realbloom,20241103,"보고 립스틱 케이스가 너무 예뻐서 1층에 있던 부티크 매장에 화장품은 없냐고 물어보니 금시 초문의... 립스틱처럼 케이스는 다회용 ! 향수 종류도 다양~ 남성형, 여성형 있어요 신규 가입시 제공하는 향수... ",0,4,4
립스틱 후기,서면 퍼스널컬러 진단 인생 립스틱 찾은 후기,https://blog.naver.com/gjhomecare/223939459394,남씨가족 이야기,blog.naver.com/gjhomecare,20250719,"서면 퍼스널컬러 진단 인생 립스틱 찾은 후기 20살 돼서 대학 들어왔는데… 내 친구들은 다들 왜케 예쁜지,, 대학생 되면 다들 예뻐진다고 했는데 오히려 대학교가서 자존감 박살났다 ㅠㅠ 고등학교 땐 다... ",0,0,0
립스틱 후기,각질 부각 없는 립스틱 무자극인증 NO타르 네츄럴샤인 건성 후기,https://blog.naver.com/soravan/223669975191,왜가리의 리뷰 둥지,blog.naver.com/soravan,20241122,그래서 립스틱에 대해서도 기대가 컸는데 드디어어어 써봤습니다 그 결과 오늘 포스팅할께요. 임신... 이웃님들의 입술 이제 자연으로 아름답게 가꿔보세요. 네츄럴샤인 럭스 트리플 큐어 립스틱 후기였습니다.,0,4,4
립스틱 후기,KT&amp;G 상상마당 대치아트홀: 연극 &lt;분홍립스틱&gt; 후기_측은지심의... ,https://blog.naver.com/siono/223843139952,위풍당당 삐삐샘,blog.naver.com/siono,20250422,-문예친 민쌤 후기_연극을 보고 나서 삼성역 가는 길에 연극 &lt;분홍립스틱&gt; 포토존이다. 대략 오후 6시 40분 무렵이라 로비는 아주 한산했다. 매표소는 한 시간 전부터 운영한다. KT&amp;G 상상마당 20주년 기념... ,0,2,2
립스틱 후기,선물하기 프라다 모노크롬 립스틱 R126 스칼라토 실물 발색 후기,https://blog.naver.com/fiesta7272/223966272637,뚜벅이 배낭여행자를 위한 파워TJ의 내돈내산 후기,blog.naver.com/fiesta7272,20250811,늘 여행과 맛집 포스팅 위주로 글을 올리다가 오랜만에 립스틱 후기를 올립니다 왜 뜬금없이 립스틱... 뷰티 립스틱 발색 후기가 거의 없었기 때문에 제 속이 터져서요.. 뷰티 인플루언서 분의 발색 샷이 몇 개... ,0,0,0
립스틱 후기,[내돈내산] 에스쁘아 바밍 글로우 립스틱 후기 : 베리코어/뉴로즈,https://blog.naver.com/zziny57/223358451731,희동이의 소소한 이야기,blog.naver.com/zziny57,20240219,★마지막 정리★ 노웨어 립스틱 바밍 글로우 구매해서 직접 사용해본 후기를 정리하자면 글로시한 립스틱인데 착색이 있어서 지워져도 입술색이랑 어우러져서 좀 남아있음 글로시한 립은 바를 땐 예쁠 땐 컵에... ,0,6,6
립스틱 후기,샤넬 립스틱 130 블라썸 여쿨 라이트 자연광 입술 발색후기,https://blog.naver.com/wkenejrgn/223484316502,"나의 자두빛인생 : 뷰티 , 일상로그",blog.naver.com/wkenejrgn,20240619,안농하새요 오늘은 #내돈내산 샤넬 립스틱 후기 사실 내돈산이라기보다는...... 어머니가 주셨기... 오늘 후기는 여기서 마치겠습니당 ++ 디오메르 선크림은 공홈에서 샀구 샤넬 립스틱은 엄마한테 선물... ,0,1,1
립스틱 후기,프라다 모노크롬 하이퍼매트 라끄핑크 립스틱 후기,https://blog.naver.com/fattyratpigeon/223961382077,하이앤드탐방돼지설치류,blog.naver.com/fattyratpigeon,20250806,"오늘은 프라다 모노크롬 하이퍼 매트 #라끄핑크 립스틱 내돈내산 후기를 가져왔어용! 그동안 립스틱은 그냥 바비브라운이나 MAC, 혹은 드럭스토어에서 대충 집히는 거 아무거나 쓰는 편이었는데요, 요즘 계속... ",0,55,55
립스틱 후기,싼) 샤넬 립앤치크밤 2호 헬시핑크 웜톤 블러셔 &amp; 립스틱 후기,https://blog.naver.com/borareview/223770032662,쪼의 리뷰박스,blog.naver.com/borareview,20250222,"맥 립스틱 하나에 3.5g에 39,000원이니 샤넬은 6.5g이니 '맥 립스틱 두 개 분량을 이 가격에?' 하는 생각이 들었답니다.. 물론 '샤넬'이라는 브랜드 가치를 생각하면 충분히 납득이 되는 가격이긴 해요! 헬시핑크... ",0,5,5
립스틱 후기,립스틱 추천 정샘물 뉴클래식 글레이즈 이효리 립스틱 후기,https://blog.naver.com/eunbyeol11/223404885421,반짝벼리별,blog.naver.com/eunbyeol11,20240403,"글로우 립스틱인데요. 총 여섯가지 컬러가 출시되었는데, 오늘은 메인 컬러를 포함한 3종 후기를 보여드리려고 해요. 나머지 3가지 컬러는 4월 중 출시된다고 합니다! 정샘물 모델이 이효리라는 것은 제가... ",0,5,5
